stage,model_id,model_key,layer_index,normalized_depth,protocol,source_relations,target_relation,fold,auc,balanced_accuracy,n_train,n_test,n_iter
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,39,0.5,within_relation,P159,P159,1,0.9797979797979798,0.9696969696969697,134,66,18
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,39,0.5,within_relation,P159,P159,2,0.997245179063361,0.9545454545454546,134,66,18
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,39,0.5,within_relation,P176,P176,0,1.0,0.9852941176470589,132,68,17
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,39,0.5,within_relation,P176,P176,1,1.0,0.9848484848484849,134,66,17
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,39,0.5,within_relation,P176,P176,2,0.9972451790633609,0.9848484848484849,134,66,19
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,39,0.5,within_relation,P138,P138,0,1.0,0.9558823529411764,132,68,17
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,39,0.5,within_relation,P138,P138,1,0.9990817263544537,0.9848484848484849,134,66,17
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,39,0.5,within_relation,P138,P138,2,0.997245179063361,0.9696969696969697,134,66,19
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,59,0.75,within_relation,P19,P19,0,0.9342560553633217,0.8676470588235294,132,68,18
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,59,0.75,within_relation,P19,P19,1,0.9467401285583104,0.893939393939394,134,66,23
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,59,0.75,within_relation,P19,P19,2,0.9421487603305785,0.8636363636363636,134,66,20
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,59,0.75,within_relation,P103,P103,0,0.9835640138408304,0.9558823529411764,132,68,26
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,59,0.75,within_relation,P103,P103,1,0.9788797061524335,0.9242424242424243,134,66,21
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,59,0.75,within_relation,P103,P103,2,0.9733700642791552,0.9242424242424243,134,66,22
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,59,0.75,within_relation,P101,P101,0,0.9256055363321799,0.8529411764705882,132,68,19
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,59,0.75,within_relation,P101,P101,1,0.9403122130394859,0.9090909090909091,134,66,21
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,59,0.75,within_relation,P101,P101,2,0.9338842975206612,0.8636363636363636,134,66,18
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,59,0.75,within_relation,P159,P159,0,0.9653979238754324,0.8676470588235294,132,68,19
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,59,0.75,within_relation,P159,P159,1,0.9788797061524335,0.9545454545454546,134,66,19
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,59,0.75,within_relation,P159,P159,2,0.9788797061524334,0.9545454545454546,134,66,19
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,59,0.75,within_relation,P176,P176,0,1.0,0.9852941176470589,132,68,19
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,59,0.75,within_relation,P176,P176,1,1.0,0.9848484848484849,134,66,17
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,59,0.75,within_relation,P176,P176,2,0.9981634527089073,0.9848484848484849,134,66,20
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,59,0.75,within_relation,P138,P138,0,0.9930795847750865,0.9558823529411764,132,68,18
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,59,0.75,within_relation,P138,P138,1,1.0,0.9848484848484849,134,66,17
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,59,0.75,within_relation,P138,P138,2,0.9880624426078972,0.9393939393939394,134,66,16
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,79,1.0,within_relation,P19,P19,0,0.9446366782006921,0.8970588235294117,132,68,15
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,79,1.0,within_relation,P19,P19,1,0.9449035812672176,0.8787878787878788,134,66,16
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,79,1.0,within_relation,P19,P19,2,0.960514233241506,0.8636363636363636,134,66,19
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,79,1.0,within_relation,P103,P103,0,0.9844290657439447,0.9264705882352942,132,68,24
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,79,1.0,within_relation,P103,P103,1,0.967860422405877,0.9242424242424243,134,66,26
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,79,1.0,within_relation,P103,P103,2,0.9687786960514233,0.9242424242424243,134,66,25
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,79,1.0,within_relation,P101,P101,0,0.9013840830449826,0.8088235294117647,132,68,19
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,79,1.0,within_relation,P101,P101,1,0.9035812672176309,0.8484848484848484,134,66,21
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,79,1.0,within_relation,P101,P101,2,0.9228650137741048,0.8181818181818181,134,66,22
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,79,1.0,within_relation,P159,P159,0,0.9645328719723183,0.8676470588235294,132,68,14
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,79,1.0,within_relation,P159,P159,1,0.9660238751147843,0.9393939393939394,134,66,18
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,79,1.0,within_relation,P159,P159,2,0.9834710743801653,0.9545454545454546,134,66,16
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,79,1.0,within_relation,P176,P176,0,0.9982698961937716,0.9705882352941176,132,68,17
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,79,1.0,within_relation,P176,P176,1,1.0,1.0,134,66,19
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,79,1.0,within_relation,P176,P176,2,0.9972451790633609,0.9848484848484849,134,66,17
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,79,1.0,within_relation,P138,P138,0,0.976643598615917,0.9117647058823529,132,68,12
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,79,1.0,within_relation,P138,P138,1,0.9963269054178145,0.9545454545454546,134,66,14
1A,meta-llama/Llama-3.1-70B,llama_3_1_70b,79,1.0,within_relation,P138,P138,2,0.9559228650137741,0.8636363636363636,134,66,14
1B,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,leave_one_out,P103;P101;P159;P176;P138,P19,,0.9149,0.815,1000,200,42
1B,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,leave_one_out,P19;P101;P159;P176;P138,P103,,0.96835,0.89,1000,200,43
1B,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,leave_one_out,P19;P103;P159;P176;P138,P101,,0.9209,0.7749999999999999,1000,200,47
1B,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,leave_one_out,P19;P103;P101;P176;P138,P159,,0.9740000000000001,0.925,1000,200,44
1B,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,leave_one_out,P19;P103;P101;P159;P138,P176,,0.9946,0.935,1000,200,47
1B,meta-llama/Llama-3.1-8B,llama_3_1_8b,7,0.25,leave_one_out,P19;P103;P101;P159;P176,P138,,0.9460999999999999,0.875,1000,200,48
1B,meta-llama/Llama-3.1-8B,llama_3_1_8b,15,0.5,leave_one_out,P103;P101;P159;P176;P138,P19,,0.916,0.795,1000,200,29
1B,meta-llama/Llama-3.1-8B,llama_3_1_8b,15,0.5,leave_one_out,P19;P101;P159;P176;P138,P103,,0.97475,0.95,1000,200,35
1B,meta-llama/Llama-3.1-8B,llama_3_1_8b,15,0.5,leave_one_out,P19;P103;P159;P176;P138,P101,,0.9344,0.87,1000,200,43
1B,meta-llama/Llama-3.1-8B,llama_3_1_8b,15,0.5,leave_one_out,P19;P103;P101;P176;P138,P159,,0.9792000000000001,0.935,1000,200,43
1B,meta-llama/Llama-3.1-8B,llama_3_1_8b,15,0.5,leave_one_out,P19;P103;P101;P159;P138,P176,,0.9934,0.915,1000,200,40
1B,meta-llama/Llama-3.1-8B,llama_3_1_8b,15,0.5,leave_one_out,P19;P103;P101;P159;P176,P138,,0.9827999999999999,0.94,1000,200,42
1B,meta-llama/Llama-3.1-8B,llama_3_1_8b,23,0.75,leave_one_out,P103;P101;P159;P176;P138,P19,,0.9005000000000001,0.81,1000,200,46
1B,meta-llama/Llama-3.1-8B,llama_3_1_8b,23,0.75,leave_one_out,P19;P101;P159;P176;P138,P103,,0.9414,0.8899999999999999,1000,200,49
1B,meta-llama/Llama-3.1-8B,llama_3_1_8b,23,0.75,leave_one_out,P19;P103;P159;P176;P138,P101,,0.8527,0.76,1000,200,51
1B,meta-llama/Llama-3.1-8B,llama_3_1_8b,23,0.75,leave_one_out,P19;P103;P101;P176;P138,P159,,0.9753,0.93,1000,200,51
1B,meta-llama/Llama-3.1-8B,llama_3_1_8b,23,0.75,leave_one_out,P19;P103;P101;P159;P138,P176,,0.984,0.925,1000,200,55
1B,meta-llama/Llama-3.1-8B,llama_3_1_8b,23,0.75,leave_one_out,P19;P103;P101;P159;P176,P138,,0.9664,0.905,1000,200,54
1B,meta-llama/Llama-3.1-8B,llama_3_1_8b,31,1.0,leave_one_out,P103;P101;P159;P176;P138,P19,,0.8906499999999999,0.8,1000,200,51
1B,meta-llama/Llama-3.1-8B,llama_3_1_8b,31,1.0,leave_one_out,P19;P101;P159;P176;P138,P103,,0.8166499999999999,0.7050000000000001,1000,200,51
1B,meta-llama/Llama-3.1-8B,llama_3_1_8b,31,1.0,leave_one_out,P19;P103;P159;P176;P138,P101,,0.8746,0.7549999999999999,1000,200,58
1B,meta-llama/Llama-3.1-8B,llama_3_1_8b,31,1.0,leave_one_out,P19;P103;P101;P176;P138,P159,,0.9624,0.875,1000,200,60
1B,meta-llama/Llama-3.1-8B,llama_3_1_8b,31,1.0,leave_one_out,P19;P103;P101;P159;P138,P176,,0.9378500000000001,0.87,1000,200,64
1B,meta-llama/Llama-3.1-8B,llama_3_1_8b,31,1.0,leave_one_out,P19;P103;P101;P159;P176,P138,,0.9577,0.9099999999999999,1000,200,61
1B,meta-llama/Llama-3.1-70B,llama_3_1_70b,19,0.25,leave_one_out,P103;P101;P159;P176;P138,P19,,0.9428000000000001,0.83,1000,200,21
1B,meta-llama/Llama-3.1-70B,llama_3_1_70b,19,0.25,leave_one_out,P19;P101;P159;P176;P138,P103,,0.9778,0.9299999999999999,1000,200,28
1B,meta-llama/Llama-3.1-70B,llama_3_1_70b,19,0.25,leave_one_out,P19;P103;P159;P176;P138,P101,,0.9577,0.875,1000,200,25
1B,meta-llama/Llama-3.1-70B,llama_3_1_70b,19,0.25,leave_one_out,P19;P103;P101;P176;P138,P159,,0.9687000000000001,0.905,1000,200,28
1B,meta-llama/Llama-3.1-70B,llama_3_1_70b,19,0.25,leave_one_out,P19;P103;P101;P159;P138,P176,,0.9964,0.935,1000,200,31
1B,meta-llama/Llama-3.1-70B,llama_3_1_70b,19,0.25,leave_one_out,P19;P103;P101;P159;P176,P138,,0.9875,0.95,1000,200,30
1B,meta-llama/Llama-3.1-70B,llama_3_1_70b,39,0.5,leave_one_out,P103;P101;P159;P176;P138,P19,,0.9588,0.86,1000,200,19
1B,meta-llama/Llama-3.1-70B,llama_3_1_70b,39,0.5,leave_one_out,P19;P101;P159;P176;P138,P103,,0.9776,0.935,1000,200,19
1B,meta-llama/Llama-3.1-70B,llama_3_1_70b,39,0.5,leave_one_out,P19;P103;P159;P176;P138,P101,,0.9481,0.9,1000,200,20
1B,meta-llama/Llama-3.1-70B,llama_3_1_70b,39,0.5,leave_one_out,P19;P103;P101;P176;P138,P159,,0.9922000000000001,0.95,1000,200,24
1B,meta-llama/Llama-3.1-70B,llama_3_1_70b,39,0.5,leave_one_out,P19;P103;P101;P159;P138,P176,,0.9985,0.975,1000,200,22
1B,meta-llama/Llama-3.1-70B,llama_3_1_70b,39,0.5,leave_one_out,P19;P103;P101;P159;P176,P138,,0.9979999999999999,0.965,1000,200,25
1B,meta-llama/Llama-3.1-70B,llama_3_1_70b,59,0.75,leave_one_out,P103;P101;P159;P176;P138,P19,,0.9587,0.885,1000,200,18
1B,meta-llama/Llama-3.1-70B,llama_3_1_70b,59,0.75,leave_one_out,P19;P101;P159;P176;P138,P103,,0.9702999999999999,0.905,1000,200,17
1B,meta-llama/Llama-3.1-70B,llama_3_1_70b,59,0.75,leave_one_out,P19;P103;P159;P176;P138,P101,,0.9276,0.87,1000,200,21
1B,meta-llama/Llama-3.1-70B,llama_3_1_70b,59,0.75,leave_one_out,P19;P103;P101;P176;P138,P159,,0.9874,0.94,1000,200,24
1B,meta-llama/Llama-3.1-70B,llama_3_1_70b,59,0.75,leave_one_out,P19;P103;P101;P159;P138,P176,,0.9997,0.935,1000,200,24
